time,temperature,moisture
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,31,1024
2/19/2020,30,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,30,90
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,31,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,30,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,30,90
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,2147483647,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,29,
2/19/2020,28,
2/19/2020,29,
2/19/2020,28,1024
2/19/2020,28,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,28,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,30,90
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
2/19/2020,29,1024
